date,A01,A02,A03,A04,A05,A06,A07,A08,A09,A010,A011,A012,A013,A014,A015,A016,A017,A018,A019,A020,A021,A022,A023,A024,A025,A026,A027,A028,A029,A030,A031,A032,A033,A034,A035,A036,A037,A038,A039,A040,A041,A042,A043,A044,A045,A046,A047,A048,A049,A050,A051,A052,A053,A054,A055,A056,A057,A058,A059,A060,A061,A062,A063,A064,A065,A066,A067,A068,A069,A070,A071,A072,A073,A074,A075,A076,A077,A078,A079,A080,A081,A082,A083,A084,A085,A086,A087,A088,A089,A090,A091,A092,A093,A094,A095,A096,A097,A098
2016-05-06 00:00:00,12369,5855,4455,10032,0,943,17565,15470,0,852,0,0,0,0,0,8587,21681,11618,11132,4384,6104,6411,0,8149,25205,22346,11083,13448,24532,5864,0,4978,0,2564,610,5104,593,14117,18566,11811,5188,8234,42330,11168,11362,0,9208,5945,5255,0,0,15470,3768,12040,0,7398,0,1909,7833,6655,6918,17118,0,0,11083,0,0,8962,0,0,8506,308,5945,0,0,0,0,0,0,593,6436,0,11132,7528,0,0,0,0,0,0,0,6703,11555,4523,0,6918,6639,1731
2016-05-07 00:00:00,4196,12987,4425,21320,0,6517,13648,10269,0,2394,0,0,0,0,0,30730,16121,7481,7719,12364,8585,1751,0,10845,6470,15687,5251,4545,1480,14050,0,8225,0,0,9210,2327,1560,3543,762,19651,5504,11148,16263,4789,17048,0,14006,4431,5324,0,0,10269,1764,11132,0,7933,0,1478,31794,2397,7526,15066,0,0,5251,0,0,3765,0,0,1371,13026,4431,0,0,0,0,0,0,1560,8323,0,7719,13869,0,0,0,0,0,0,0,7471,7428,25831,0,7526,10947,5020
2016-05-08 00:00:00,734,56,2422,6223,0,11155,11367,15822,0,4905,0,0,0,0,0,2749,8967,20331,22310,23,998,6345,0,6933,0,5914,3430,6007,0,16779,0,10712,0,2135,6258,0,3911,21574,0,5356,10003,9357,31946,3247,21867,0,9884,1883,12804,0,0,15822,3949,9190,0,9992,0,1407,1328,4901,12386,1529,0,0,3430,0,0,4749,0,0,13145,3614,1883,0,0,0,0,0,0,3911,11517,0,22310,8014,0,0,0,0,0,0,0,8104,13515,4,0,12386,1041,8866
2016-05-09 00:00:00,0,4,7333,13813,0,13882,9643,11887,0,6658,0,0,0,0,0,6822,10501,15025,18168,23551,6719,9104,0,21170,21321,18158,6972,7138,19034,9642,0,18155,0,4710,12454,0,15620,14292,8597,10407,5632,13745,23235,11100,13401,0,16599,10713,6715,0,0,11887,8663,16726,0,9989,0,9397,0,8136,14826,6156,0,0,6972,0,0,15831,0,0,11794,10935,10713,0,0,0,0,0,0,15620,5724,0,18168,6229,0,0,0,0,0,0,0,685,10128,16221,0,14826,6906,9581
2016-05-10 00:00:00,0,10966,8484,1483,0,9988,7611,12857,0,8714,0,0,0,0,0,14446,12503,14072,21747,12091,400,9894,0,187,24170,25906,10368,4010,4,4680,0,17791,0,8968,13416,0,9005,6819,11445,13308,8457,11926,15369,16365,10359,0,4806,4268,4440,0,0,12857,5086,14064,0,9544,0,368,20,10527,8924,16928,0,0,10368,0,0,12416,0,0,6728,7677,4268,0,0,0,0,0,0,9005,6691,0,21747,3708,0,0,0,0,0,0,0,9481,13086,16855,0,8924,8114,4351
2016-05-11 00:00:00,0,6664,7518,6719,0,10287,10312,8651,0,7879,0,0,0,0,0,2822,12182,24577,16760,16383,9819,6563,0,9860,22008,15330,426,7128,0,13106,0,15529,0,6619,9055,0,6711,12765,7970,12709,12040,6988,16630,10154,11336,0,13103,8159,6637,0,0,8651,5491,26061,0,8041,0,9450,181,7055,2033,18052,0,0,426,0,0,7852,0,0,14539,7565,8159,0,0,0,0,0,0,6711,11847,0,16760,9538,0,0,0,0,0,0,0,16093,8437,14780,0,2033,9409,7266
2016-05-12 00:00:00,0,10079,4677,13473,0,14199,12263,16271,0,7000,0,0,0,0,0,7500,17062,13991,14134,15976,4957,7542,0,19996,26326,28263,9673,217,12135,9891,0,19616,0,11514,7092,0,13471,19642,9335,9597,9534,9664,15511,8862,11791,0,3875,7338,9856,0,0,16271,10732,12276,0,7397,0,6601,10691,7156,0,17457,0,0,9673,0,0,17560,0,0,13133,10497,7338,0,0,0,0,0,0,13471,8025,0,14134,9320,0,0,0,0,0,0,0,8359,13427,4675,0,0,8571,12371
2016-05-13 00:00:00,0,9881,7345,21787,0,14002,4895,15711,0,3879,0,0,0,0,0,63,18019,16441,21448,20425,5908,6498,0,17433,27704,23651,11798,5358,19963,275,0,7064,0,4935,7457,0,14221,2996,4932,10600,7675,0,11066,12657,13879,0,8086,7860,6826,0,0,15711,1709,10250,0,7910,0,6548,819,11183,0,28042,0,0,11798,0,0,18678,0,0,0,14443,7860,0,0,0,0,0,0,14221,9218,0,21448,12668,0,0,0,0,0,0,0,14221,3846,3551,0,0,8222,1476
2016-05-14 00:00:00,0,0,10857,20730,0,6666,5561,9510,0,14729,0,0,0,0,0,0,13603,14732,13316,12852,6222,3423,0,1794,38608,16458,1699,7551,439,14444,0,9527,0,1428,6221,0,4700,6329,4441,10179,7066,4525,44756,11111,10997,0,12304,2286,3393,0,0,9510,2596,7911,0,13724,0,3993,9743,1432,0,15819,0,0,1699,0,0,8686,0,0,0,7885,2286,0,0,0,0,0,0,4700,4096,0,13316,10333,0,0,0,0,0,0,0,9881,4393,10061,0,0,3925,4676
2016-05-15 00:00:00,0,5928,81,9496,0,6164,8325,3553,0,8288,0,0,0,0,0,0,2625,6834,15269,394,1454,4790,0,21834,13647,15030,4449,3040,178,14391,0,20790,0,4157,9275,0,8018,19086,3062,6188,7610,1070,16782,11064,11488,0,1443,1580,2929,0,0,3553,651,11671,0,6854,0,3374,5882,7533,0,5577,0,0,4449,0,0,6936,0,0,0,10705,1580,0,0,0,0,0,0,8018,3284,0,15269,6794,0,0,0,0,0,0,0,1688,5377,9854,0,0,2682,9286
2016-05-16 00:00:00,0,0,6235,22358,0,23161,13539,9330,0,5632,0,0,0,0,0,0,9312,16285,23644,14111,6946,17579,0,19391,27729,33414,12038,18017,286,6917,0,15514,0,39,10065,0,10113,29736,17116,9046,5880,6814,10269,19890,24015,0,10304,10264,8722,0,0,9330,6267,17171,0,16114,0,1736,0,3472,12613,22325,0,0,12038,0,0,9228,0,0,0,7912,10264,0,0,0,0,0,0,10113,8121,0,23644,9501,0,0,0,0,0,0,0,6770,11059,25478,0,12613,3449,9559
2016-05-17 00:00:00,2505,0,2759,17921,0,16207,19683,10233,0,8582,0,0,0,0,0,0,8021,19170,24438,12732,4680,7611,0,24629,30683,20187,9947,1095,21214,9547,0,16500,0,262,19975,0,11698,9378,12633,14129,9717,6224,9262,12107,22711,0,1128,6292,4331,0,0,10233,245,16240,0,8096,0,6753,0,3041,22280,15388,0,0,9947,0,0,11852,0,0,0,3606,6292,0,0,0,0,0,0,11698,7715,0,24438,8346,0,0,0,0,0,0,0,13260,13377,9455,0,22280,5908,3560
2016-05-18 00:00:00,13238,0,1505,11676,0,8080,13652,11055,0,9095,0,0,0,0,0,0,13389,19422,10162,10,2201,6652,0,15132,17491,28516,9129,82,4790,13310,0,19006,0,26,13799,0,10506,17984,11266,5332,13162,13113,7515,20580,14541,0,9130,7227,7216,0,0,11055,6904,11535,0,15600,0,7175,0,7765,11792,24065,0,0,9129,0,0,13142,0,0,0,9915,7227,0,0,0,0,0,0,10506,10523,0,10162,5829,0,0,0,0,0,0,0,14640,8106,12773,0,11792,9535,7326
