datetime,A01,A02,A03,A04,A05,A06,A07,A08,A09,A010,A011,A012,A013,A014,A015,A016,A017,A018,A019,A020,A021,A022,A023,A024,A025,A026,A027,A028,A029,A030,A031,A032,A033,A034,A035,A036,A037,A038,A039,A040,A041,A042,A043,A044,A045,A046,A047,A048,A049,A050,A051,A052,A053,A054,A055,A056,A057,A058,A059,A060,A061,A062,A063,A064,A065,A066,A067,A068,A069,A070,A071,A072,A073,A074,A075,A076,A077,A078,A079,A080,A081,A082,A083,A084,A085,A086,A087,A088,A089,A090,A091,A092,A093,A094,A095,A096,A097,A098
07:50:00,0,0,0,62,0,0,0,58,0,65,0,0,0,0,0,0,0,66,62,76,87,60,0,0,0,48,0,0,58,56,0,77,0,66,0,53,0,0,0,0,0,0,0,57,0,0,58,57,0,0,0,58,54,70,0,0,0,0,0,0,57,0,0,0,0,0,0,60,0,0,0,59,57,0,0,0,0,0,0,0,0,0,62,61,0,0,0,0,0,0,0,0,0,0,0,57,0,0
07:51:00,0,0,0,63,0,0,0,58,0,66,0,0,0,0,0,0,0,66,65,79,59,60,0,0,0,47,0,0,58,57,0,61,0,69,0,51,0,0,0,0,0,0,0,57,0,0,58,62,0,0,0,58,60,71,0,0,0,0,0,0,56,0,0,0,0,0,0,56,0,0,0,57,62,0,0,0,0,0,0,0,0,0,65,60,0,0,0,0,0,0,0,0,0,0,0,56,0,0
07:52:00,0,0,0,64,0,0,0,58,0,66,0,0,0,0,0,0,0,65,58,83,59,62,0,0,0,48,0,0,60,58,0,62,0,69,0,49,0,0,0,0,0,0,0,58,0,0,57,72,0,0,0,58,54,71,0,0,0,0,0,0,56,0,0,0,0,0,0,58,0,0,0,58,72,0,0,0,0,0,0,0,0,0,58,59,0,0,0,0,0,0,0,0,0,0,0,56,0,0
07:53:00,0,0,0,64,0,0,0,61,0,66,0,0,0,0,0,0,0,66,62,79,58,61,0,0,0,48,0,0,59,54,0,67,0,73,0,53,0,0,0,0,0,0,0,66,0,0,58,60,0,0,0,61,53,71,0,0,0,0,0,0,57,0,0,0,0,0,0,61,0,0,0,58,60,0,0,0,0,0,0,0,0,0,62,58,0,0,0,0,0,0,0,0,0,0,0,57,0,0
07:54:00,0,0,0,64,0,0,0,63,0,65,0,0,0,0,0,0,0,67,64,79,59,61,0,0,0,49,0,0,57,55,0,62,0,75,0,50,0,0,0,0,0,0,0,59,0,0,57,60,0,0,0,63,57,71,0,0,0,0,0,0,56,0,0,0,0,0,0,62,0,0,0,56,60,0,0,0,0,0,0,0,0,0,64,58,0,0,0,0,0,0,0,0,0,0,0,56,0,0
07:55:00,0,0,0,57,0,0,0,58,0,67,0,0,0,0,0,0,0,69,64,79,59,61,0,0,0,49,0,0,56,56,0,61,0,81,0,52,0,0,0,0,0,0,0,59,0,0,57,68,0,0,0,58,53,71,0,0,0,0,0,0,55,0,0,0,0,0,0,61,0,0,0,55,68,0,0,0,0,0,0,0,0,0,64,60,0,0,0,0,0,0,0,0,0,0,0,55,0,0
07:56:00,0,0,0,59,0,0,0,59,0,66,0,0,0,0,0,0,0,70,60,79,61,60,0,0,0,50,0,0,61,58,0,60,0,75,0,52,0,0,0,0,0,0,0,60,0,0,57,75,0,0,0,59,53,71,0,0,0,0,0,0,56,0,0,0,0,0,0,60,0,0,0,56,75,0,0,0,0,0,0,0,0,0,60,54,0,0,0,0,0,0,0,0,0,0,0,56,0,0
07:57:00,0,0,0,57,0,0,0,67,0,65,0,0,0,0,0,0,0,70,61,80,60,61,0,0,0,52,0,0,65,58,0,61,0,77,0,52,0,0,0,0,0,0,0,67,0,0,58,67,0,0,0,67,53,71,0,0,0,0,0,0,55,0,0,0,0,0,0,65,0,0,0,56,67,0,0,0,0,0,0,0,0,0,61,53,0,0,0,0,0,0,0,0,0,0,0,55,0,0
07:58:00,0,0,0,59,0,0,0,66,0,66,0,0,0,0,0,0,0,68,67,84,61,63,0,0,0,53,0,0,62,59,0,59,0,70,0,54,0,0,0,0,0,0,0,57,0,0,58,59,0,0,0,66,53,71,0,0,0,0,0,0,55,0,0,0,0,0,0,60,0,0,0,59,59,0,0,0,0,0,0,0,0,0,67,54,0,0,0,0,0,0,0,0,0,0,0,55,0,0
07:59:00,0,0,0,60,0,0,0,60,0,67,0,0,0,0,0,0,0,67,62,83,61,60,0,0,0,54,0,0,66,58,0,63,0,71,0,53,0,0,0,0,0,0,0,58,0,0,57,58,0,0,0,60,70,72,0,0,0,0,0,0,56,0,0,0,0,0,0,59,0,0,0,57,58,0,0,0,0,0,0,0,0,0,62,54,0,0,0,0,0,0,0,0,0,0,0,56,0,0
